          50
   1.0000000000000000E-003   (  1.4033292890033514E-003,  1.3403543975510331E-003)
   1.3257113655901094E-003   (  1.6151929678918874E-003,  1.5323588529746589E-003)
   1.7575106248547913E-003   (  1.8588302631189688E-003,  1.7500035202713019E-003)
   2.3299518105153721E-003   (  2.1389009525478284E-003,  1.9961204162725799E-003)
   3.0888435964774815E-003   (  2.4606969315393518E-003,  2.2736630456875332E-003)
   4.0949150623804274E-003   (  2.8302035414107976E-003,  2.5856424448133229E-003)
   5.4286754393238594E-003   (  3.2541550546212367E-003,  2.9350355695680536E-003)
   7.1968567300115215E-003   (  3.7400774700239222E-003,  3.3246602024726069E-003)
   9.5409547634999446E-003   (  4.2963088763130920E-003,  3.7570109688223499E-003)
   1.2648552168552958E-002   (  4.9319840780416837E-003,  4.2340525970494189E-003)
   1.6768329368110083E-002   (  5.6569660937693389E-003,  4.7569698477731232E-003)
   2.2229964825261943E-002   (  6.4817029495554497E-003,  5.3258793196611668E-003)
   2.9470517025518096E-002   (  7.4169847432122744E-003,  5.9395174090018975E-003)
   3.9069399370546168E-002   (  8.4735746567217909E-003,  6.5949316777510177E-003)
   5.1794746792312100E-002   (  9.6616905099482196E-003,  7.2872198602679551E-003)
   6.8664884500430012E-002   (  1.0990323179254842E-002,  8.0093807294094772E-003)
   9.1029817799152174E-002   (  1.2466397396944483E-002,  8.7523613770733380E-003)
  0.12067926406393290        (  1.4093810759895166E-002,  9.5054013354265686E-003)
  0.15998587196060574        (  1.5872427284427670E-002,  1.0256778608451634E-002)
  0.21209508879201905        (  1.7797147251033676E-002,  1.0995048761594520E-002)
  0.28117686979742307        (  1.9857214645409099E-002,  1.1710830791209806E-002)
  0.37275937203149379        (  2.2035942078274875E-002,  1.2399134216642021E-002)
  0.49417133613238334        (  2.4311015459489032E-002,  1.3062152731083356E-002)
  0.65512855685955096        (  2.6655479112228764E-002,  1.3712393830157227E-002)
  0.86851137375135201        (  2.9039403945015863E-002,  1.4376000057755970E-002)
   1.1513953993264470        (  3.1432133274879322E-002,  1.5096170040820698E-002)
   1.5264179671752334        (  3.3804924014323647E-002,  1.5936713538417142E-002)
   2.0235896477251578        (  3.6133798784028504E-002,  1.6985957767288014E-002)
   2.6826957952797246        (  3.8402529948395707E-002,  1.8361425543576278E-002)
   3.5564803062231287        (  4.0605906821981161E-002,  2.0215884248122661E-002)
   4.7148663634573946        (  4.2753803385323252E-002,  2.2745475407479097E-002)
   6.2505519252739701        (  4.4877092118638981E-002,  2.6200632575533827E-002)
   8.2864277285468422        (  4.7037204494434728E-002,  3.0900299992730570E-002)
   10.985411419875572        (  4.9342227249517895E-002,  3.7249386420415129E-002)
   14.563484775012444        (  5.1973939608199897E-002,  4.5757992355143225E-002)
   19.306977288832496        (  5.5231998308642644E-002,  5.7057840838176416E-002)
   25.595479226995334        (  5.9602536063514622E-002,  7.1904956105491302E-002)
   33.932217718953297        (  6.5855270015006462E-002,  9.1146033050722386E-002)
   44.984326689694441        (  7.5157122780525568E-002, 0.11560953889716870     )
   59.636233165946365        (  8.9146433703597289E-002, 0.14587378709060198     )
   79.060432109077013        ( 0.10983482125759866     , 0.18190630088164181     )
   104.81131341546852        ( 0.13916074784176338     , 0.22273235734928332     )
   138.94954943731361        ( 0.17821676170830322     , 0.26653279582967898     )
   184.20699693267164        ( 0.22670343834483811     , 0.31146898998786171     )
   244.20530945486499        ( 0.28331271425567178     , 0.35669226118706870     )
   323.74575428176399        ( 0.34663739595864895     , 0.40249472912066658     )
   429.19342601287781        ( 0.41536133730799124     , 0.44987286155168149     )
   568.98660290182931        ( 0.48799089994635964     , 0.50087927440035995     )
   754.31200633546075        ( 0.56369034967003762     , 0.55942519814311220     )
   1000.0000000000000        ( 0.64390075894037868     , 0.63070768268812494     )
